,date,countryName,confirmedCount,nowconfirmedCount,curedCount,deadCount,countryShortEnglishName,countryEnglishName,deadRate,curedRate
298,2020-01-23,突尼斯,0,0,0,0,Tunisia,Tunisia,,
299,2020-01-23,塞内加尔,0,0,0,0,Senegal,Senegal,,
300,2020-01-23,安道尔,0,0,0,0,Andorra,Andorra,,
301,2020-01-23,不丹,0,0,0,0,Bhutan,Kingdom of Bhutan,,
302,2020-01-23,阿尔巴尼亚,0,0,0,0,Albania,Albania,,
303,2020-01-23,开曼群岛,0,0,0,0,Cayman Is,Cayman Is,,
304,2020-01-23,俄罗斯,0,0,0,0,Russia,Russia,,
305,2020-01-23,黎巴嫩,0,0,0,0,Lebanon,Lebanon,,
306,2020-01-23,德国,0,0,0,0,Germany,Germany,,
307,2020-01-23,斐济,0,0,0,0,Fiji,Fiji,,
308,2020-01-23,乍得,0,0,0,0,Chad,Chad,,
309,2020-01-23,马拉维,0,0,0,0,Malawi,Malawi,,
310,2020-01-23,黑山,0,0,0,0,Montenegro,not value,,
311,2020-01-23,澳大利亚,0,0,0,0,Australia,Australia,,
312,2020-01-23,北马里亚纳群岛联邦,0,0,0,0,N. Mariana ls.,not value,,
313,2020-01-23,冰岛,0,0,0,0,Iceland,Iceland,,
314,2020-01-23,多米尼加,0,0,0,0,Dominican Rep.,Dominican Republic,,
315,2020-01-23,美属维尔京群岛,0,0,0,0,U.S. Virgin ls.,not value,,
316,2020-01-23,印度尼西亚,0,0,0,0,Indonesia,Indonesia,,
317,2020-01-23,越南,0,0,0,0,Vietnam,Vietnam,,
318,2020-01-23,荷兰,0,0,0,0,Netherlands,Netherlands,,
319,2020-01-23,新加坡,0,0,0,0,Singapore,Singapore,,
320,2020-01-23,直布罗陀,0,0,0,0,Gibraltar,Gibraltar,,
321,2020-01-23,刚果（布）,0,0,0,0,Congo,not value,,
322,2020-01-23,布基纳法索,0,0,0,0,Burkina Faso,Burkina Faso,,
323,2020-01-23,英属维尔京群岛,0,0,0,0,not value,not value,,
324,2020-01-23,孟加拉国,0,0,0,0,Bangladesh,Bangladesh,,
325,2020-01-23,圣巴泰勒米,0,0,0,0,Saint Barthelemy,Saint Barthelemy,,
326,2020-01-23,日本,0,0,0,0,Japan,Japan,,
327,2020-01-23,哥斯达黎加,0,0,0,0,Costa Rica,Costa Rica,,
328,2020-01-23,至尊公主邮轮,0,0,0,0,Grand Princess,Grand Princess,,
329,2020-01-23,卢旺达,0,0,0,0,Rwanda,Republic of Rwanda,,
330,2020-01-23,毛里塔尼亚,0,0,0,0,Mauritania,The Islamic Republic of Mauritania,,
331,2020-01-23,多米尼克,0,0,0,0,Dominica,not value,,
332,2020-01-23,法属波利尼西亚,0,0,0,0,French Polynesia,French Polynesia,,
333,2020-01-23,以色列,0,0,0,0,Israel,Israel,,
334,2020-01-23,韩国,0,0,0,0,Korea,Korea,,
335,2020-01-23,蒙古,0,0,0,0,Mongolia,Mongolia,,
336,2020-01-23,圣多美和普林西比,0,0,0,0,Sao Tome and Principe,Sao Tome and Principe,,
337,2020-01-23,几内亚比绍,0,0,0,0,Guinea Bissau,not value,,
338,2020-01-23,阿联酋,0,0,0,0,United Arab Emirates,United Arab Emirates,,
339,2020-01-23,赞比亚共和国,0,0,0,0,Zambia,not value,,
340,2020-01-23,伊朗,0,0,0,0,Iran,Iran,,
341,2020-01-23,塞浦路斯,0,0,0,0,Cyprus,Cyprus,,
